"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Central Europe and the Baltics","CEB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.46551697798414","9.80468307940086","10.2832799575491","10.7076481539804","10.8843501821856","11.0189754969151","10.7347550326797","10.7898090704405","11.1242680120508","11.2517814100716","11.4664926174045","11.1505854974121","11.2259063669784","11.3972944217298","11.35937343981","11.2911914568958","12.0103493483617","12.0550218463285","12.0953856206597","12.1445309653239","11.7481274563208","12.696113983857","12.3244469477733","","","",
"Switzerland","CHE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.83617067","8.69527817","8.83963394","9.30684757","9.30845737","9.39204693","9.34170818","9.55602741","9.77972221","9.97373199","10.25540829","10.50000191","10.86467552","10.55523682","10.79354095","10.92490101","11.17563915","11.32075405","11.37870598","11.51255226","11.17624092","11.95497608","12.34594059","11.64929962","","",
"Channel Islands","CHI","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.95628929","11.13347244","11.66363049","12.48133278","13.10177708","12.86940479","13.40539932","13.59831047","13.46145725","13.60349178","13.68902302","14.01050568","14.57309246","15.41127777","15.69308376","16.02235031","16.75084496","17.97215843","18.30398941","18.01159668","18.83919525","15.52394772","19.04703331","19.16633034","19.29641342","",
"China","CHN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.08984089","5.58924198","6.02580309","6.87652969","7.26605844","7.48882914","7.56382084","7.90135717","7.7085824","8.37523174","8.7509222","8.60284996","9.03729343","9.41684246","9.66088581","9.41902351","8.95276546","8.79734421","8.76146317","8.76956177","8.64632607","8.9053545","10.39417267","10.36797714","","",
"Cote d'Ivoire","CIV","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.55759859","4.45654726","4.14795876","4.06708717","4.14515257","3.89134884","3.85718441","4.57922173","4.65788126","5.82132435","5.80678844","4.39369249","4.62200308","4.58988285","5.11125422","4.8747077","4.85199261","5.15028763","5.11727667","5.60127592","6.53835297","7.77389526","6.82223606","6.58320475","","",
"Cameroon","CMR","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.42626905","5.34374762","6.43298531","6.51537704","5.26183367","5.24748802","5.18314695","4.22608185","3.46105146","3.04738736","2.67579794","3.21048117","3.73180342","2.50095606","2.9397316","1.81293964","1.81293964","0.73440903","1.95703375","2.17985916","3.65950561","2.86292386","3.91280055","3.91280055","","",
"Congo, Dem. Rep.","COD","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.49895263","2.53201437","3.87759209","3.90944052","3.98679423","4.10415363","3.80773497","3.84188485","4.16694117","4.12865877","5.08724737","4.5126462","3.98434091","4.00071907","","",
"Congo, Rep.","COG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27290344","3.31901908","1.3442719","1.85525787","1.78429937","1.95315254","2.08378863","2.05207968","4.54892206","2.52816463","3.60210204","2.33683133","2.67131019","2.20951629","1.9499675","2.70981026","2.88502312","3.41114736","3.48719907","5.10725212","8.21684074","8.21684074","3.52587986","5.42177486","","",
"Colombia","COL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.88161659","15.37750435","14.86478043","15.59885502","15.73734665","16.83091927","16.05757141","16.2844429","16.6930294","17.0406208","16.82773972","16.48455429","16.19955254","16.34110641","16.18276405","17.03754425","17.65917969","18.60467529","15.54749584","16.65906715","18.45023155","19.37218857","15.76684952","16.18694687","17.24350166","",
